Term,Correlation,F-stat,p-val,FDR
ribosomal protein l36a like,-0.0310189234351918,17.82217069533904,2.4369798248618146e-05,0.0023823876390214
~ H2B,-0.0309842408271736,17.782300359702152,2.488534493878657e-05,0.0024232470595098
~ caries,-0.0309643605785476,17.75946666776303,2.518551918682793e-05,0.0024428969801879
~ deubiquitinase activity,-0.0309148789814069,17.7026978786443,2.5947672636933495e-05,0.0025070298025202
~ unexplained,0.030867144149238,17.648019470008155,2.6703670032176777e-05,0.0025700729867014
large family,-0.0308138104399596,17.587028083786624,2.757310225869717e-05,0.0026435046416436
UXT,0.0308032342303059,17.574945916876487,2.7748680820287105e-05,0.0026501057440328
~ GPCR,-0.0307842645792649,17.55328558867663,2.8066267352329737e-05,0.0026701666077613
~ share,-0.030772303956908,17.53963534272661,2.8268282920759185e-05,0.0026791211191044
~ heavy,0.0306955417896883,17.452156073709467,2.9598076684002017e-05,0.0027944860917887
~ 2d,-0.0306710821121956,17.42432754928437,3.0034149889054087e-05,0.0028249165753602
~ alpha amylase,-0.0306369073319715,17.385483145278418,3.0653661479394215e-05,0.0028619364481571
~ aldo keto reductase family 1 member d1,-0.030636656470786,17.385198167267106,3.0658253602747116e-05,0.0028619364481571
~ LCE,-0.0305717896860822,17.311588181436747,3.186786090037297e-05,0.002954943547569
~ perception,-0.0305704881761845,17.310112847484472,3.1892588729753816e-05,0.002954943547569
~ endogenous,0.0304964218413904,17.22625841076609,3.333022729714915e-05,0.0030766649591654
~ NOP56,-0.0304896507757318,17.21860271277247,3.346468200314839e-05,0.0030776352548895
~ POLR3C,0.0304198882047794,17.139825091291808,3.488030336575087e-05,0.0031959882393909
~ histone h1,-0.0303622792013529,17.074908119928,3.609198988722509e-05,0.0032922493857102
~ retroviral,0.0303574177605679,17.069435634039067,3.619604858035906e-05,0.0032922493857102
19p13_11,0.0302802675278153,16.98270595320337,3.7886056930573235e-05,0.003433389341763
~ odorant receptor,-0.0302175746035159,16.912391820743203,3.9314261686809534e-05,0.0035498633888915
~ ubiquitin conjugating enzyme E2D 3,-0.0301931208031836,16.885004968630685,3.988507493330534e-05,0.0035883561437279
histone code,-0.0300647967189176,16.741654139653754,4.301169175090139e-05,0.0038556798478939
~ heavy chain,0.0300563297822304,16.73221727436478,4.322596171085527e-05,0.0038589518771525
~ properties,0.030051092360262,16.72638121576767,4.335900985564694e-05,0.0038589518771525
~ EBERs,0.0300334300016219,16.706707577147277,4.381056274165164e-05,0.0038852145837069
~ chromosome 12,-0.0300131526664549,16.68413549808032,4.433446896920108e-05,0.0039176839821147
~ generate,-0.0299451895851183,16.60859275267811,4.613410210922229e-05,0.0040622549272131
~ chemokine c c motif ligand 4,-0.0299383592821791,16.60101019655874,4.631874748813635e-05,0.0040641018334908
~ DNA ligase IV,-0.0298969007940098,16.55502293752382,4.745462835199663e-05,0.0041491051993254
~ 4f2hc,-0.0298556483840151,16.509327746751186,4.861104101405052e-05,0.0042353009102452
TBM,-0.0297871982675234,16.433645426116183,5.058901865200391e-05,0.0043890407264928
segmental,-0.0297824467242062,16.428398321871903,5.0729116366777733e-05,0.0043890407264928
~ translocase of outer mitochondrial membrane 22,-0.0297171825972507,16.356412499639344,5.269100403485258e-05,0.0045399996057858
~ ml66,0.0297075801396886,16.345834437994124,5.298565758156243e-05,0.0045399996057858
~ snoRNP,-0.0297063854135784,16.344518568384068,5.302242703386461e-05,0.0045399996057858
APTX,-0.0296829273527268,16.318692652408636,5.3749299555989914e-05,0.0045864221899477
smith,0.02956405440792,16.188135427342022,5.758014442238965e-05,0.0048964813909327
~ TRIM28,-0.0294129447782677,16.02293181632875,6.282382357398091e-05,0.0053241582360597
~ SWI SNF b,0.0293627283930721,15.968219811951906,6.466425569773327e-05,0.005461490249083
